annee;production;Superficie (1000 ha);Precipitation (mm);Subvention( million fcfa);prix (fcfa)
2023-01-01;166558.86;462;820,36;100 000;554.16
2022-01-01;168736.1;618;939,28;72800;492.9
2021-01-01;209015.04;595;843,13;12700;431.04
2020-01-01;206837.8;556;952,49;14000;445.02
2019-01-01;191597.12;580;913,41;13621;586.62
2018-01-01;185065.4;630;921,57;21450;573.0
2017-01-01;261268.8;850;813,75;18000;434.64
2016-01-01;285218.44;700;922,99;192000;486.48
2015-01-01;239496.4;660;812,16;9 000;516.66
2014-01-01;293927.4;660;862,17;10 000;420.3
2013-01-01;272155.0;647;800,04;1;411.54
2012-01-01;264534.66;591;916,57;2;482.34
2011-01-01;173090.58;429;742,78;4;416.7
2010-01-01;140431.97999999998;374;899,06;8;457.62
2009-01-01;151318.18;418;864,6;3;508.62
2008-01-01;185065.4;440;830,27;10;564.3
2007-01-01;146963.69999999998;400;881,9;3;392.58
2006-01-01;283041.2;700;794,25;12;407.28
2005-01-01;297628.708;630;826,89;0;542.1
2004-01-01;256914.32;585;751,14;0;701.28
2003-01-01;210103.66;460;946,54;0;528.3
2002-01-01;163293.0;405;693,19;0;467.7
2001-01-01;157849.9;361;744,92;0;483.6
2000-01-01;114305.1;260;731,19;0;376.38
1999-01-01;109950.62;300;870,92;0;407.1
1998-01-01;119748.2;300;868,33;0;372.06
1997-01-01;138254.74;280;730,76;0;313.02
1996-01-01;88613.66799999999;200;787,08;0;496.38
1995-01-01;64010.856;210;778,46;0;455.64
1994-01-01;62051.34;180;982,7;0;349.74
1993-01-01;50729.692;160;711,35;0;344.58
1992-01-01;69236.232;177;771,01;0;408.06
1991-01-01;69671.68;170;848,95;0;535.68
1990-01-01;77074.296;176;669,08;0;457.5
1989-01-01;62486.788;165;789,07;0;954.72
1988-01-01;60744.996;170;833,36;0;1284.84
1987-01-01;62922.236;120;668,99;0;596.22
1986-01-01;65970.372;115;771,32;0;560.4
1985-01-01;45939.764;95;689,87;0;568.5
1984-01-01;34400.392;80;613,88;0;411.78
1983-01-01;30045.912;77;631,09;0;459.84
1982-01-01;28739.568;72;725,74;0;511.92
1981-01-01;21554.676;65;770,06;0;571.26
1980-01-01;23078.744;76;772,33;0;473.52
1979-01-01;28739.568;82;821,51;0;468.72
1978-01-01;22425.572;72;813,63;0;722.28
1977-01-01;14152.06;70;739,58;0;928.56
1976-01-01;20248.332;79;841,67;0;540.0
1975-01-01;18071.092;80;805,52;0;642.0
1974-01-01;11321.648;62;839,69;0;444.0
1973-01-01;9797.58;67;692,3;0;
